PG.ProteinGroups	PG.Organisms	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	[1] 01	[2] 02	[3] 03	[4] 04	[5] 05	[6] 06	[7] 07	[8] 08	[9] 09	[10] 10	[11] 11	[12] 12	[13] 13	[14] 14	[15] 15	[16] 16	[17] 17	[18] 18	[19] 19	[20] 20	[21] 21	[22] 22	[23] 23	[24] 24	[25] 25	[26] 26	[27] 27	[28] 28	[29] 29	[30] 30	[31] 31	[32] 32	[33] 33	[34] 34	[35] 35
>KFV89226.1;>XP_009580322.1	Unknown	"Protein CASC4, partial;PREDICTED: protein CASC4, partial"	1	NaN	4204.129883	3718.681885	2552.425537	7788.253906	2298.362793	5248.034668	4745.016113	3336.570801	3719.8125	1883.531738	5004.418457	2123.893066	2500.616211	2771.47998	NaN	NaN	NaN	1759.530151	3316.787109	4872.067871	NaN	1902.00769	3521.852051	3952.118896	1779.717651	2970.644531	1053.130127	638.7697144	920.0106812	1120.538696	2047.477173	2844.451172	NaN	2614.126465
>KFV89240.1;>XP_009580965.1	Unknown	"6-phosphogluconate dehydrogenase, decarboxylating, partial;PREDICTED: 6-phosphogluconate dehydrogenase, decarboxylating"	8	2726.219238	713.6121826	1369.878784	1709.658081	1318.303589	2659.979736	2531.394775	1100.671143	985.3933716	1488.988647	1944.484131	3215.070313	4336.607422	2115.579834	1506.647705	1947.404907	2001.042725	1674.114014	1837.585938	1578.970703	1850.920166	1216.382935	2369.426758	NaN	2011.866943	1047.64856	882.5837402	1768.899902	4215.600098	1770.649292	2.581443548	224.6748657	1020.85376	724.401062	108.0628815
>KFV89248.1;>XP_009581545.1	Unknown	"Ceruloplasmin, partial;PREDICTED: ceruloplasmin"	35	382374.2188	480865.2188	540102.3125	1415624.875	408317.75	736586.3125	358478.0938	248298.4531	741610.8125	394359.1875	255244.8594	468803.5	374974.8125	557597.9375	432021.25	233703.125	884707.75	288007.625	830317.75	389442.4375	291209.375	333305.8438	252420.4375	430103.625	373531.2813	546449.8125	383999.6875	320171.75	915109.5	341761.9375	538629	296434.0625	474276.75	389281.4375	380647.5625
>KFV89252.1	Unknown	"hypothetical protein N327_04183, partial"	19	87015.9375	99113.84375	97005.6875	123290.9141	117102.9766	97178.60156	101081.5156	84732.17188	111394.3281	71526.46875	78408.92969	96644.82031	53785.98438	79410.375	93671.69531	89973.83594	60305.62109	76865.77344	68924.57813	107191.1953	143107.1563	112977.2578	98501.60156	99088.82031	88806.76563	61708.06641	90892.22656	58986.96875	95190.89063	68551.49219	40069.19141	71195.47656	97719.83594	44281.73438	103097.3906
>KFV89314.1;>XP_009584113.1	Unknown	"Collagen triple helix repeat-containing protein 1, partial;PREDICTED: collagen triple helix repeat-containing protein 1"	3	5864.102539	8020.342285	12191.34961	5114.500977	8571.004883	7647.943848	5235.068848	9742.951172	7308.037109	6967.029785	7382.442383	6462.371094	5671.957031	1180.614624	6465.888184	4074.596191	4758.010742	4794.403809	7383.017578	7066.089355	5917.249023	5140.639648	5488.678223	5064.75	7072.929199	3385.294434	5783.998047	5953.023926	3306.627441	3965.855713	7707.938477	6438.202637	3608.226563	10412.69629	5875.587402
>KFV89363.1;>XP_009584877.1	Unknown	"Adiponectin, partial;PREDICTED: adiponectin"	6	2208733.75	1951661	1265907.5	1115878.875	1759994.25	1441928.125	1980691.875	2450558.5	1586809	1494793.75	2817429.25	1369033.875	795227.8125	900306.0625	1074555.75	1415046.625	1654533.5	1438186.75	2919078.5	1610390.5	1080682.375	1842804	1557181.125	1498276.875	1112668.625	1094075.625	1690127.5	1569273.875	968487.75	1418328.375	1715035.875	1560256.125	1453017.875	2136568.75	1626876.875
>KFV89379.1;>XP_009584975.1	Unknown	"Nucleophosmin, partial;PREDICTED: nucleophosmin, partial"	4	6786.577148	NaN	1131.539673	2862.05835	NaN	NaN	2609.333984	NaN	NaN	1430.772583	1805.567139	4922.926758	4028.294922	2825.878906	1385.053589	NaN	2484.28833	1609.662964	NaN	2548.26001	4836.963379	13938.21484	3312.760986	987.1040649	7819.449707	506.8962402	NaN	2263.282227	3467.224854	3051.542725	2108.340332	6255.574219	3863.057129	423.4889221	653.1500854
>KFV89381.1;>XP_009584991.1	Unknown	Extracellular superoxide dismutase;PREDICTED: extracellular superoxide dismutase	8	66931.1875	74326.79688	59211.26172	34172.03906	68294.67188	63772.67578	63902.60938	68415.38281	100089.3828	55517.49219	54951.90625	68243.15625	59225.66016	41585.84766	61497.02344	36893.19531	66909.98438	43029.74219	68880.57813	68542.5625	59528.66797	61588.40625	52636.90625	98400.76563	42238.22656	54791.04688	74850.21875	76354.34375	35135.39844	62317.11719	81033.98438	84393.03125	80785.99219	85684.34375	78954.34375
>KFV89383.1;>XP_009584997.1	Unknown	"Heme oxygenase 1, partial;PREDICTED: heme oxygenase 1"	8	2995.96582	416.6287842	3246.614746	5.160491943	191.8588409	1905.487427	281.9889832	695.1173706	5610.166992	340.9359741	1531.392334	1518.37439	1900.200562	621.1782837	52.8629837	1440.280029	2304.641357	418.8706055	1984.720825	2435.417725	65.55736542	225.9858246	401.2081604	4232.352539	1925.919067	926.0281372	6520.851074	1253.57959	840.2885132	398.8177795	234.0092163	955.6786499	787.7989502	963.6369019	584.0635376
>KFV89403.1;>XP_009585098.1	Unknown	"Complement component C7, partial;PREDICTED: LOW QUALITY PROTEIN: complement component C7, partial"	12	307880.6563	347718.5938	281055.9375	124495.8047	164882.7344	317837.5	276771.2188	304600.6875	471687.9688	375396.7813	349803.5938	152390.5938	175390.7813	206669.9844	176271.7344	238326.875	262412.6563	267385.4688	374149.0313	366640.3125	121975.125	261475.8281	127432.8906	365496.625	100330.2969	401252.9375	351722.4688	288362.2813	211869.75	285336.1563	373190.3125	240852.1719	145461.0781	429541	322940.0625
>KFV89409.1;>XP_009585116.1	Unknown	"N-acetylglucosamine-1-phosphotransferase subunit gamma, partial;PREDICTED: N-acetylglucosamine-1-phosphotransferase subunit gamma"	1	716.0528564	1138.930786	800.8688965	1325.643433	927.7036743	1983.74585	496.3321533	837.4875488	1102.855103	1016.622986	1068.892822	628.2909546	1328.895874	765.0005493	836.8573608	1529.303101	1304.62854	NaN	1514.988403	2443.964111	1274.428345	663.3595581	1589.827026	546.9087524	1703.946899	2523.243408	675.434082	2058.61792	902.0751953	2195.418945	1930.011597	993.4055786	1613.020386	4651.680664	1103.076904
>KFV89412.1;>XP_009585123.1	Unknown	"Puromycin-sensitive aminopeptidase, partial;PREDICTED: puromycin-sensitive aminopeptidase"	8	2871.206299	1808.008057	1160.640259	2184.619873	1311.675659	4072.353027	2370.036865	1336.072144	890.0834351	2358.887695	2058.476563	1924.10083	2784.022217	2082.413086	1483.146118	1716.746704	2396.142578	1586.017944	2765.64502	1563.04187	1518.306152	1348.984009	1683.85376	1648.783203	2218.989014	2680.0354	532.6213989	2414.656494	2499.264893	2062.426514	26.66005516	779.4758911	2388.586426	524.7539063	581.434082
>KFV89440.1;>XP_009585252.1	Unknown	"hypothetical protein N327_01342, partial;PREDICTED: ATP synthase subunit alpha, mitochondrial, partial"	1	NaN	NaN	NaN	NaN	NaN	1716.398315	9620.28125	NaN	NaN	NaN	2474.042725	NaN	2118.199951	1585.65271	NaN	NaN	1014.379883	NaN	NaN	NaN	NaN	NaN	NaN	347.4329529	NaN	NaN	NaN	311.960144	NaN	1007.813843	NaN	NaN	NaN	NaN	NaN
>KFV89445.1;>XP_009585275.1	Unknown	"Di-N-acetylchitobiase, partial;PREDICTED: di-N-acetylchitobiase, partial"	1	8745.804688	7081.111328	6551.407715	7058.375488	10177.15918	5978.751953	5774.385254	5745.199219	6868.972168	5936.450684	6868.55957	3017.307129	4181.529297	2565.844482	5702.793945	4391.623047	4187.024902	5062.80957	4040.780762	7669.183105	3996.358643	5257.975098	4527.060547	4956.495605	2898.186279	4708.520996	6948.20752	4589.90625	5306.30127	4522.084961	3562.584229	3818.402832	3507.717529	5730.64209	6219.182129
>KFV89454.1;>XP_009585341.1	Unknown	Transferrin receptor protein 1;PREDICTED: transferrin receptor protein 1	16	38590.96484	55043.17578	46863.26563	39840.19531	98794.05469	65567.96875	41745.96875	72074.60156	47114.29297	94589.38281	70336.52344	34800.11719	29585.98633	36587.08203	52484.51563	60283.00391	70444.54688	34868.91797	67233.35938	86523.13281	30365.25	38683.26172	32974.07813	52334.22266	28725.97656	68758.82813	59623.14453	56839.66797	35573.69531	30013.36133	56728.77734	36722.28125	31721.43945	69347.50781	32340.58398
>KFV89457.1;>XP_009585372.1	Unknown	"Importin subunit alpha-3, partial;PREDICTED: importin subunit alpha-3"	1	62.56217957	NaN	NaN	NaN	0.811658919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.16787338	NaN	NaN	0.819091737	NaN	NaN	NaN
>KFV89504.1;>KFV98480.1;>XP_009585357.1;>XP_009585593.1	Unknown	"Myosin regulatory light chain 2, smooth muscle minor isoform, partial;Myosin regulatory light chain 2, smooth muscle minor isoform, partial;PREDICTED: myosin regulatory light chain 2, smooth muscle minor isoform-like isoform X1;PREDICTED: myosin regulatory light chain 2, smooth muscle minor isoform isoform X1"	3	1197.67981	NaN	386.3947754	2129.300781	NaN	NaN	NaN	1382.298218	454.3805847	NaN	1046.139038	1260.565063	152.3237915	909.0857544	2255.917969	NaN	1308.031128	2713.421143	NaN	NaN	NaN	996.2158203	1525.964111	NaN	9126.932617	NaN	NaN	1355.900635	1565.203003	903.6506348	NaN	917.9475098	421.9638672	NaN	NaN
>KFV89505.1;>XP_009585595.1	Unknown	"Tissue alpha-L-fucosidase, partial;PREDICTED: tissue alpha-L-fucosidase, partial"	1	NaN	NaN	NaN	NaN	NaN	4438.842285	1494.073608	1634.468018	NaN	2666.280518	2351.143311	NaN	1328.85022	NaN	NaN	NaN	2448.320313	NaN	3405.908691	3352.745361	NaN	617.2203979	965.5285645	NaN	NaN	NaN	NaN	NaN	NaN	5330.88916	NaN	NaN	2500.854492	45818.73828	NaN
>KFV89508.1;>XP_009585599.1	Unknown	"78 kDa glucose-regulated protein, partial;PREDICTED: 78 kDa glucose-regulated protein, partial"	10	5662.901855	7689.299805	6823.455078	17883.47656	8635.686523	13441.15723	9628.505859	9863.842773	9477.810547	9540.371094	8757.267578	5646.242676	7807.692383	9649.993164	11400.52734	16535.14258	12018.76367	7541.312012	11760.46191	8220.950195	6490.04834	5763.152344	8401.84375	6937.623535	11632.39941	11618.80078	5998.576172	9556.107422	8551.042969	9026.294922	10367.54785	7477.924805	5296.544434	11652.64746	6536.699707
>KFV89527.1;>XP_009585675.1;>XP_009585676.1	Unknown	"14-3-3 protein epsilon, partial;PREDICTED: 14-3-3 protein epsilon isoform X1;PREDICTED: 14-3-3 protein epsilon isoform X2"	6	2290.862549	1693.37561	581.6156006	1178.405273	1626.398682	3272.461182	2128.796143	1070.444458	1864.69397	1864.263306	1287.537964	2042.277954	2011.790283	1635.219604	1219.041382	1198.8396	1696.017944	1263.291992	2060.098877	1088.279297	1528.249878	1483.099609	1060.654663	452.0896912	1842.671875	1308.066284	669.1218262	964.6754761	1101.33374	1325.942627	651.0042725	1128.33252	1178.901489	754.0106201	360.837677
>KFV89541.1;>XP_009585731.1	Unknown	"Retinoid-binding protein 7, partial;PREDICTED: retinoid-binding protein 7"	2	10647.73926	1844.452759	8201.322266	2600.707275	1852.5896	2305.569824	11043.59668	4575.567383	9924.243164	3182.667969	3577.817139	7172.828125	6100.250977	3892.224121	4471.569336	4499.925293	4574.240723	3779.697021	4620.592285	3611.556885	4372.644043	4739.268555	2813.096924	3349.930664	3912.58667	3573.2854	3842.745361	2537.84375	4388.009277	1122.490601	184.1663513	2374.171387	6264.850098	1041.20752	2229.96582
>KFV89568.1	Unknown	"Alpha-2-macroglobulin, partial"	1	7644481	4102234.5	7224824.5	6364704.5	4316873	3769637.5	4451721.5	3149467.5	3617863.25	4317035	4051726	4731280	4715481.5	4676034	5598907.5	6503736	4391257.5	4216772.5	4712343	3719477	4613903	5201955.5	4592018	3719816.25	3719533	3831492.25	5160295	3680978	4367626	4012031	3095205.5	4388956.5	3059010.25	3674995	6949730
>KFV89600.1;>XP_009585989.1	Unknown	"Uncharacterized protein KIAA0247, partial;PREDICTED: uncharacterized protein KIAA0247 homolog, partial"	1	5891.882813	5760.256348	9697.769531	12765.8418	7396.288574	6708.402832	9009.818359	5112.788086	6253.505371	10190.46191	5511.220703	3926.439697	4951.86084	6167.057617	6015.480469	7078.221191	3786.000732	3512.956055	4457.183594	4820.896484	5195.21875	5202.532227	7062.301758	3893.098877	4156.367188	3342.365967	5861.373047	4041.991211	6055.231934	3242.8479	6819.454102	3904.894531	3122.947021	4671.398438	6235.550293
>KFV89609.1;>XP_009586013.1;>XP_009586014.1	Unknown	"AMP deaminase 3, partial;PREDICTED: AMP deaminase 3 isoform X1;PREDICTED: AMP deaminase 3 isoform X2"	4	14822.92871	1114.03479	4519.237305	147.3407135	1171.464966	NaN	2113.834229	598.8171387	NaN	502.1990662	1469.277832	4533.190918	864.2439575	320.4906616	NaN	1722.187012	667.6687012	NaN	NaN	526.3240356	1906.125977	2104.034424	2628.232178	NaN	2422.732666	555.5358276	880.918396	1360.114746	2323.425781	1331.03833	877.4200439	2323.018555	2133.932129	540.3409424	NaN
>KFV89612.1;>XP_009586021.1	Unknown	hypothetical protein N327_00418;PREDICTED: ornithine decarboxylase	1	NaN	NaN	NaN	955.645874	0.465079427	NaN	NaN	NaN	NaN	0.671575069	NaN	NaN	1187.815308	388.1262512	479.934967	NaN	233.7361755	721.6271362	NaN	0.639850199	NaN	0.588217795	0.504452407	NaN	NaN	1.497320533	0.475082308	NaN	507.0860291	53.85936356	2.790975571	0.466860414	NaN	NaN	0.834738433
>KFV89729.1;>XP_009586410.1	Unknown	"Adenylosuccinate lyase, partial;PREDICTED: adenylosuccinate lyase, partial"	6	1072.627563	576.4481812	746.9810791	1592.388916	1223.84668	1725.064819	1339.893921	2088.921875	861.9633789	1381.085083	1554.003052	1361.25415	5158.972168	2129.737793	1092.309937	2553.808105	4728.469238	1620.65918	1614.790771	1128.44043	356.9899902	460.4414063	1832.074707	742.7646484	933.1224365	3378.692627	1441.184204	2294.328857	3480.109375	2678.038818	452.1352844	317.5732422	1727.015015	1023.938904	805.5598755
>KFV89744.1;>XP_009586430.1	Unknown	"Proteasome subunit alpha type-2, partial;PREDICTED: proteasome subunit alpha type-2, partial"	3	5139.6875	2856.939453	4385.55127	4478.826172	2538.908936	4452.790039	6217.33252	3092.918701	3671.502197	2952.003906	4152.622559	4771.047363	3586.686768	2273.959229	1884.998657	3603.840332	3701.740723	2230.192627	3548.905029	2520.440918	2877.020264	3070.373779	3098.57251	2597.220459	4844.977051	7164.121582	2327.285889	3368.552979	3689.522705	2392.794922	1249.903687	1261.623901	2700.395996	1385.017456	1544.762817
>KFV89760.1;>XP_009586440.1	Unknown	Leucine-rich repeat-containing protein 4C;PREDICTED: leucine-rich repeat-containing protein 4C	2	2333.226807	909.4308472	3040.600342	1265.848389	666.817627	3016.24292	3114.50293	1331.809937	2491.824219	5569.264648	3082.469238	2662.371582	1243.72876	2028.897461	2351.616211	1121.839722	1550.247681	NaN	2038.100342	2249.383789	2507.343018	2404.341797	2902.359619	2659.32959	4141.116699	1528.238647	2319.152832	1827.214111	1823.044556	1662.192261	4549.799805	3206.317139	1855.670288	1575.908691	3568.472168
>KFV89799.1;>XP_009586559.1;>XP_009586560.1	Unknown	"Melanotransferrin, partial;PREDICTED: melanotransferrin isoform X1;PREDICTED: melanotransferrin isoform X2"	15	4636.324707	8758.041016	4439.500977	23418.95703	9513.329102	3470.742676	2516.997803	9311.782227	4282.727539	1941.384521	5614.979004	2531.620605	9266.117188	6263.066406	5323.058594	5175.928223	3321.165283	13820.68848	5948.508301	2009.817139	1584.82605	2920.585449	1534.880371	2668.740967	2996.148926	4410.255859	5793.086914	2593.207764	9446.339844	3689.769287	4669.720215	6537.952148	9096.216797	4677.800293	4717.676758
>KFV89830.1;>XP_009570434.1	Unknown	"Serine/threonine-protein phosphatase 2A activator, partial;PREDICTED: serine/threonine-protein phosphatase 2A activator, partial"	3	3170.627197	NaN	249.3293762	4.035034657	488.641571	3.730148077	919.4352417	517.6442871	243.8008118	743.9736328	818.3779907	2122.182861	702.3835449	636.2811279	427.9453125	687.4445801	995.9876709	400.1022949	459.5816956	401.7504883	830.1157837	744.1900635	925.9628906	NaN	961.1424561	628.8535156	211.4037476	322.0451355	733.4551392	NaN	554.9678955	304.96698	768.4400024	NaN	NaN
>KFV89845.1;>XP_009570474.1	Unknown	"Integrator complex subunit 7, partial;PREDICTED: integrator complex subunit 7, partial"	1	NaN	NaN	NaN	605.6205444	NaN	1354.087646	814.9922485	NaN	NaN	NaN	NaN	395.038269	523.9254761	637.2419434	NaN	1044.90686	1262.734375	NaN	NaN	1553.730713	437.4460449	NaN	788.8640137	NaN	615.1465454	4919.71582	417.5603638	939.2383423	254.67276	665.505249	NaN	NaN	NaN	753.395874	NaN
>KFV89886.1;>KFV93778.1;>XP_009570558.1	Unknown	"GTP-binding protein SAR1b, partial;GTP-binding protein SAR1a, partial;PREDICTED: GTP-binding protein SAR1b"	1	2515.459961	NaN	NaN	NaN	NaN	4244.581543	2678.262207	NaN	NaN	2250.672607	1283.457886	2934.822266	4183.888672	2646.656982	2797.134033	2117.201416	5687.128906	NaN	1175.006592	2119.445313	1281.092529	2136.764404	3220.024414	NaN	3213.646729	1592.487183	935.0789185	2789.563477	2779.30957	1766.520752	985.1897583	1313.410278	2118.344971	1121.442139	NaN
>KFV89900.1;>XP_009570588.1;>XP_009570589.1;>XP_009570590.1	Unknown	"Four and a half LIM domains protein 1, partial;PREDICTED: four and a half LIM domains protein 1 isoform X1;PREDICTED: four and a half LIM domains protein 1 isoform X2;PREDICTED: four and a half LIM domains protein 1 isoform X3"	1	NaN	NaN	NaN	NaN	NaN	1149.151123	687.6714478	NaN	NaN	NaN	844.2739868	NaN	NaN	833.8530273	2442.411133	NaN	NaN	716.74823	NaN	NaN	NaN	116.1476288	NaN	NaN	552.0686035	NaN	NaN	NaN	NaN	1124.708496	NaN	NaN	NaN	NaN	NaN
>KFV89928.1;>XP_009570628.1	Unknown	"Cytokine-like 1, partial;PREDICTED: cytokine-like protein 1"	2	2193.682617	NaN	874.4476929	8301.311523	709.7506104	2415.330811	9566.135742	19340.06055	24412.29297	3952.190918	2483.528076	NaN	NaN	3760.83252	37575.86719	2502.35498	7809.95752	8290.001953	4421.158203	3258.271729	NaN	NaN	3608.630371	NaN	3351.123779	6722.878418	1720.719604	8287.62793	4065.807861	3905.021973	NaN	NaN	6605.997559	5675.064453	2672.984131
>KFV89956.1	Unknown	"Heat shock 70 kDa protein 4, partial"	2	2868.605225	2237.811768	329.0492554	1756.237061	599.5167236	1506.651978	1834.827881	1501.284912	1550.029175	2066.90332	1404.75415	2044.49707	2235.55249	1198.669189	1613.759033	1619.174316	2794.168213	1026.372925	2471.868896	1843.889771	NaN	1069.147339	1591.797852	NaN	2270.331055	2250.52832	1211.203491	1773.076294	3321.972168	1736.575439	NaN	1041.440063	1732.501343	NaN	NaN
>KFV89974.1	Unknown	"Tubulin beta-7 chain, partial"	14	30741.00195	19945.0918	9140.94043	16011.00586	20319.43945	27166.42773	37097.86719	20417.77344	6355.56543	26258.51563	21532.97461	19888.39453	33984.07422	45238.16797	10724.56738	22717.83008	46812.06641	18146.2168	26480.92188	22463.72656	19158.12109	29384.12891	21856.92578	8430.47168	41945.38281	29699.94531	10535.02051	22736.7207	39665.17969	35718.08984	17246.14258	19876.26367	23822.63281	10035.93555	7463.563477
>KFV89984.1;>XP_009570772.1	Unknown	"Multiple inositol polyphosphate phosphatase 1, partial;PREDICTED: multiple inositol polyphosphate phosphatase 1, partial"	9	17273.07617	32911.08594	18783.81055	20508.57422	34643.47266	30743.85156	27026.14453	30191.48047	36327.90234	19133.19727	26185.64453	14783.78027	19766.91406	12588.1709	15672.64551	16431.46289	28755.14648	18500.30664	22776.95117	26992.44141	11986.52734	23757.74414	21952.09375	20937.41992	14564.10254	32868.68359	28841.20508	19368.86328	17319.87695	30882.92188	31382.87891	19348.23242	22619.51563	34250.8125	32085.35547
>KFV90036.1;>XP_009570934.1	Unknown	"Secretogranin-1, partial;PREDICTED: secretogranin-1, partial"	2	175.8193054	690.6067505	438.4716187	233.0397644	638.7438965	6355.229004	561.0695801	386.5107422	372.1044922	2151.868164	282.743988	2512.702881	1676.495117	1009.09198	170.7323608	1024.869141	1070.961792	1151.952515	2627.285156	422.681488	NaN	428.5484924	182.6744995	NaN	575.5744629	492.8843079	2.224785566	30.95024109	388.2651672	169.6524506	NaN	140.1924744	283.9354858	849.3922119	NaN
>KFV90060.1	Unknown	"Ribonuclease UK114, partial"	3	743.7650146	NaN	3627.647949	NaN	NaN	NaN	997.9800415	NaN	NaN	3133.237549	NaN	3113.218506	5961.848633	3942.335693	NaN	1288.986206	6644.162109	956.3067017	774.9744263	NaN	NaN	NaN	NaN	NaN	NaN	974.6280518	NaN	NaN	1875.746338	467.8431396	NaN	NaN	NaN	NaN	NaN
